date,cases increased local,non-symptoms cases increased local,cases increased from oversea,non-symptoms cases increased from oversea,collective quarantine period for close contacts (day),home quarantine period for close contacts (day) ,collective quarantine period for travlers from oversea (day),home quarantine period for travelers oversea,covid test policy for travelers outside Shanghai,covid test policy after entering Shanghai,no public gathering for travelers outside Shanghai,no entering into public facilities for travelers from outside Shanghai,covid test policy for travelers from oversea,"covid test required for public facilities (workplace, restaurant, etc.) hours",covid test required for public transportation
Nov. 5,0,5,3,28,7,3,7,3,72,3 tests in 3 days,,0,every day for 10 days,72,72
Nov. 6,0,2,2,20,7,3,7,3,72,3 tests in 3 days,,0,every day for 10 days ,72,72
Nov. 7,0,3,3,22,7,3,7,3,72,3 tests in 3 days,,0,every day for 10 days,72,72
Nov. 8,0,4,3,17,7,3,7,3,72,3 tests in 3 days,,0,every day for 10 days ,72,72
Nov. 9,0,4,3,16,7,3,7,3,72,3 tests in 3 days,,0,every day for 10 days ,72,72
Nov. 10,0,4,2,26,7,3,7,3,72,3 tests in 3 days,,0,every day for 10 days ,72,72
Nov. 11,0,9,3,16,7,3,7,3,72,3 tests in 3 days,,0,every day for 10 days,72,72
Nov. 12,1,9,2,26,7,3,7,3,72,3 tests in 3 days,,0,every day for 10 days ,72,72
Nov. 13,2,13,3,9,5,3,5,3,72,3 tests in 3 days,,0,every day for 10 days ,72,72
Nov. 14,0,16,2,19,5,3,5,3,72,3 tests in 3 days,,0,every day for 8 days ,72,72
Nov. 15,2,14,2,19,5,3,5,3,72,3 tests in 3 days,,0,every day for 8 days ,72,72
Nov. 16,2,11,6,26,5,3,5,3,72,3 tests in 3 days,,0,every day for 8 days ,72,72
Nov. 17,4,25,3,30,5,3,5,3,72,3 tests in 3 days,,0,every day for 8 days ,72,72
Nov. 18,6,22,7,23,5,3,5,3,72,3 tests in 3 days,,0,every day for 8 days ,72,72
Nov. 19,4,35,5,31,5,3,5,3,72,3 tests in 3 days,,0,every day for 8 days ,72,72
Nov. 20,6,33,5,31,5,3,5,3,72,3 tests in 3 days,,0,every day for 8 days ,72,72
Nov. 21,4,44,5,45,5,3,5,3,72,3 tests in 3 days,,0,every day for 8 days ,72,72
Nov. 22,15,53,5,50,5,3,5,3,72,3 tests in 3 days,,0,every day for 8 days ,72,72
Nov. 23,9,58,4,28,5,3,5,3,72,3 tests in 3 days,,0,every day for 8 days ,72,72
Nov. 24,9,77,9,61,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,72,72
Nov. 25,11,78,3,56,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,72,72
Nov. 26,11,119,8,51,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,72,72
Nov. 27,16,128,4,53,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,72,72
Nov. 28,20,158,6,52,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,72,72
Nov. 29,11,176,9,36,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,48,72
Nov. 30,23,174,6,52,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,48,72
Dec. 1,26,209,4,36,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,48,72
Dec. 2,27,264,5,42,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,48,72
Dec. 3,36,450,6,47,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,48,72
Dec. 4,41,524,5,57,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,48,72
Dec. 5,41,536,8,41,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,48,N
Dec. 6,24,454,9,68,5,3,5,3,72,3 tests in 3 days,,5,every day for 8 days ,N,N
Dec. 7,39,327,9,73,0,5,5,3,N,N,,N,every day for 8 days ,N,N
