date,cases increased local,non-symptoms cases increased local,cases increased from oversea,non-symptoms cases increased from oversea
Nov. 5,23,516,0,0
Nov. 6,30,585,0,0
Nov. 7,32,623,0,0
Nov. 8,34,664,0,0
Nov. 9,32,657,0,0
Nov. 10,30,638,0,0
Nov. 11,25,693,0,0
Nov. 12,34,756,0,0
Nov. 13,29,713,0,0
Nov. 14,28,771,0,0
Nov. 15,30,816,0,0
Nov. 16,26,901,0,0
Nov. 17,27,938,0,0
Nov. 18,30,998,0,0
Nov. 19,20,914,0,0
Nov. 20,18,893,0,0
Nov. 21,19,925,0,0
Nov. 22,19,928,0,0
Nov. 23,18,943,0,0
Nov. 24,20,957,0,0
Nov. 25,21,946,0,0
Nov. 26,20,972,0,0
Nov. 27,24,982,0,0
Nov. 28,23,991,0,0
Nov. 29,23,996,0,0
Nov. 30,21,968,0,0
Dec. 1,11,812,0,0
Dec. 2,13,719,0,0
Dec. 3,11,665,0,0
Dec. 4,12,625,0,0
Dec. 5,7,533,0,0
Dec. 6,6,400,0,0
Dec. 7,4,228,0,0
